,exp_id,approach,backbone,dataset,acc_before,acc_after,overall_drop_pp,max_class_drop_pp,channels_before,channels_after,channels_removed_pct,params_before,params_after,conv_params_before,conv_params_after,linear1_params_before,linear1_params_after,param_ratio_total,param_ratio_conv,param_ratio_linear1,params_removed_pct,conv_params_removed_pct,linear1_params_removed_pct,conv_macs_before,conv_macs_after,linear1_macs_before,linear1_macs_after,mac_ratio_conv,mac_ratio_linear1,conv_macs_removed_pct,linear1_macs_removed_pct,conv_flops_before,conv_flops_after,linear1_flops_before,linear1_flops_after,latency_ms_before,latency_ms_after,latency_speedup,baseline_eval_s,post_eval_s,optimization_overhead_s,total_s,overhead_vs_eval
0,local-cnn-celeba,local,cnn,celeba,0.9414607286453247,0.9240952134132385,1.7365515232086182,5.434310436248779,1472.0,1159.0,21.26358695652174,29606914.0,15979318.0,3913728.0,2478900.0,25691136.0,13498368.0,0.5397157569343431,0.6333858663657771,0.5254095420303718,46.028424306565685,36.66141336342229,47.45904579696282,3323658240.0,2835000252.0,25690112.0,13497344.0,0.8529758619225544,0.525390625,14.702413807744563,47.4609375,6647316480.0,5670000504.0,51380224.0,26994688.0,2.796337983087533,2.679796257160115,1.043489024815238,55.55484671000002,53.2395122410000084,3950.393921292893,4060.498868757,71.1079272816879
1,local-vgg16_bn-celeba,local,vgg16_bn,celeba,0.9793124198913574,0.9645140171051025,1.4798402786254883,2.4279117584228516,4224.0,3320.0,21.401515151515152,134277186.0,93340613.0,14723136.0,8909763.0,102764544.0,67641344.0,0.6951338181900834,0.6051538884107299,0.6582167483757823,30.486618180991666,39.48461115892701,34.17832516242177,15346630656.0,11505974004.0,102760448.0,67637248.0,0.7497394224120174,0.658203125,25.02605775879826,34.1796875,30693261312.0,23011948008.0,205520896.0,135274496.0,2.9007733173101085,2.8086770793778686,1.0327898990626005,57.62966349499993,55.79998753600012,10171.82372272920,10279.39228282,176.50319962188445
2,global-cnn_v1-celeba,global,cnn_v1,celeba,0.9414607286453247,0.921528160572052,1.9932568073272705,4.19844388961792,1472.0,724.0,50.81521739130435,29606914.0,8848446.0,3913728.0,817212.0,25691136.0,8029184.0,0.29886417746881694,0.20880653944270017,0.31252740244728766,70.1135822531183,79.11934605572999,68.74725975527123,3323658240.0,2030321664.0,25690112.0,8028160.0,0.6108695652173913,0.3125,38.91304347826087,68.75,6647316480.0,4060643328.0,51380224.0,16056320.0,4.306666310363919,3.3712024517039167,1.277486704539856,85.56053958799998,66.97567910800171,8289.285933031999,8441.822151728,96.88211379857387
3,global-vgg16_bn-celeba,global,vgg16_bn,celeba,0.9793124198913574,0.9594302177429199,1.98822021484375,2.147430181503296,4224.0,2886.0,31.676136363636363,134277186.0,73022692.0,14723136.0,6253794.0,102764544.0,49979392.0,0.5438205414879635,0.4247596435976683,0.48634859898760413,45.61794585120364,57.524035640233166,51.36514010123958,15346630656.0,11056445064.0,102760448.0,49975296.0,0.720447719882886,0.486328125,27.955228011711398,51.3671875,30693261312.0,22112890128.0,205520896.0,99950592.0,4.427194949111595,3.6616478812100546,1.2090717329293148,87.95508205400006,72.74595845600015,12439.490650988999,12600.191691499,141.43003861166054
4,global-cnn_v1-cifar10,global,cnn_v1,cifar10,0.9144999980926514,0.9024999737739563,1.2000024318695068,2.6999950408935547,1472.0,1120.0,23.91304347826087,29606914.0,27271330.0,3913728.0,1578144.0,25691136.0,25691136.0,0.9211135615147191,0.4032329277864992,1.0,7.888643848528087,59.67670722135008,0.0,3323658240.0,2317077504.0,25690112.0,25690112.0,0.6971467391304348,1.0,30.28532608695652,0.0,6647316480.0,4634155008.0,51380224.0,51380224.0,16.825241447999986,8.222825154499787,2.0461631047563604,33.65048289599997,16.445650308999575,2905.565640789,2955.6617739939998,86.3454366990491
5,global-vgg16_bn-cifar10,global,vgg16_bn,cifar10,0.9794999957084656,0.953499972820282,2.6000022888183594,2.799999713897705,4224.0,3235.0,23.413825757575758,134277186.0,127351591.0,14723136.0,8198949.0,102764544.0,102363136.0,0.9484231446434989,0.5568751793096254,0.9960939056957232,5.1576855356501135,44.312482069037465,0.3906094304276797,15346630656.0,10462968432.0,102760448.0,102359040.0,0.6817762586805556,0.99609375,31.822374131944443,0.390625,30693261312.0,20925936864.0,205520896.0,204718080.0,20.116395853499995,13.220876931500243,1.5215629006855358,40.23279170699999,26.441753863000486,9068.041527765,9134.716073335001,225.3893190858858
